Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
151310,WABASH COUNTY HOSPITAL,710 N EAST ST,,,WABASH,IN,46992.00,WABASH,2605633131.00,Not Available,Number of Cases Too Small,Not Available,Not Available,17.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.40,No Different than U.S. National Rate,9.70,18.40,58.00,,12.90,No Different than U.S. National Rate,9.30,17.80,87.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.90,No Different than U.S. National Rate,18.50,28.20,67.00,,16.40,No Different than U.S. National Rate,12.90,20.80,87.00,
151311,INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,1000 S MAIN ST,,,TIPTON,IN,46072.00,TIPTON,7656758500.00,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.70,No Different than U.S. National Rate,8.50,15.90,90.00,,13.40,No Different than U.S. National Rate,10.00,17.70,152.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.80,No Different than U.S. National Rate,22.30,32.10,99.00,,19.90,No Different than U.S. National Rate,16.20,24.10,159.00,
151312,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,720 SOUTH SIXTH ST,,,MONTICELLO,IN,47960.00,WHITE,5745837111.00,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.40,No Different than U.S. National Rate,7.50,14.40,81.00,,10.80,No Different than U.S. National Rate,7.80,14.70,144.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,7.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.20,No Different than U.S. National Rate,18.90,28.20,98.00,,16.80,No Different than U.S. National Rate,13.50,20.60,145.00,
151315,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,416 E MAUMEE ST,,,ANGOLA,IN,46703.00,STEUBEN,2606652141.00,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.30,No Different than U.S. National Rate,9.90,17.70,78.00,,12.40,No Different than U.S. National Rate,8.80,16.70,100.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,3.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.20,No Different than U.S. National Rate,19.00,28.00,87.00,,16.70,No Different than U.S. National Rate,12.90,21.20,101.00,
151316,ST VINCENT FRANKFORT HOSPITAL INC,1300 S JACKSON ST,,,FRANKFORT,IN,46041.00,CLINTON,7656563000.00,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,15.00,No Different than U.S. National Rate,10.90,19.90,70.00,,13.30,No Different than U.S. National Rate,9.50,18.50,93.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,8.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.10,No Different than U.S. National Rate,19.80,29.10,77.00,,18.50,No Different than U.S. National Rate,14.50,23.20,106.00,
151317,GREENE COUNTY GENERAL HOSPITAL,1185 N 1000 W,,,LINTON,IN,47441.00,GREENE,8128472281.00,Not Available,Number of Cases Too Small,Not Available,Not Available,7.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.50,No Different than U.S. National Rate,8.60,15.20,136.00,,12.00,No Different than U.S. National Rate,8.60,16.10,125.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.20,No Different than U.S. National Rate,21.10,29.80,159.00,,18.70,No Different than U.S. National Rate,15.10,22.80,128.00,
151318,DUKES MEMORIAL HOSPITAL,275 W 12TH ST,,,PERU,IN,46970.00,MIAMI,7654728000.00,17.00,No Different than U.S. National Rate,12.90,21.80,34.00,,10.90,No Different than U.S. National Rate,7.70,15.30,84.00,,13.90,No Different than U.S. National Rate,10.10,18.50,126.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,22.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.30,No Different than U.S. National Rate,19.90,29.20,96.00,,16.50,No Different than U.S. National Rate,13.20,20.50,132.00,
151319,GIBSON GENERAL HOSPITAL,1808 SHERMAN DR,,,PRINCETON,IN,47670.00,GIBSON,8123853401.00,Not Available,Number of Cases Too Small,Not Available,Not Available,16.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.50,No Different than U.S. National Rate,8.60,17.90,33.00,,13.70,No Different than U.S. National Rate,9.80,18.30,84.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,7.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.20,No Different than U.S. National Rate,18.70,28.40,40.00,,16.90,No Different than U.S. National Rate,13.30,21.60,78.00,
151320,JAY COUNTY HOSPITAL,500 W VOTAW ST,,,PORTLAND,IN,47371.00,JAY,2607267131.00,Not Available,Number of Cases Too Small,Not Available,Not Available,17.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.20,No Different than U.S. National Rate,7.90,15.70,40.00,,10.00,No Different than U.S. National Rate,7.10,14.00,138.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.60,No Different than U.S. National Rate,19.90,29.90,50.00,,18.50,No Different than U.S. National Rate,15.00,23.10,155.00,
151322,PERRY COUNTY MEMORIAL HOSPITAL,ONE HOSPITAL RD,,,TELL CITY,IN,47586.00,PERRY,8125477011.00,Not Available,Number of Cases Too Small,Not Available,Not Available,20.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.70,No Different than U.S. National Rate,9.40,16.90,103.00,,12.40,No Different than U.S. National Rate,9.50,15.90,231.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.40,No Different than U.S. National Rate,20.80,30.30,104.00,,18.30,No Different than U.S. National Rate,15.00,22.00,237.00,
151323,PARKVIEW LAGRANGE HOSPITAL,207 N TOWNLINE RD,,,LAGRANGE,IN,46761.00,LAGRANGE,2604639000.00,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.30,No Different than U.S. National Rate,9.80,17.90,52.00,,11.10,No Different than U.S. National Rate,7.70,15.70,65.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.40,No Different than U.S. National Rate,19.20,28.50,51.00,,16.00,No Different than U.S. National Rate,12.30,20.30,67.00,
151324,JASPER COUNTY HOSPITAL,1104 E GRACE ST,,,RENSSELAER,IN,47978.00,JASPER,2198665141.00,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.10,No Different than U.S. National Rate,9.60,17.40,75.00,,13.70,No Different than U.S. National Rate,10.40,17.70,167.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,4.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.60,No Different than U.S. National Rate,18.50,27.80,80.00,,19.30,No Different than U.S. National Rate,15.70,23.40,175.00,
151325,ST MARY'S WARRICK HOSPITAL INC,1116 MILLIS AVE,,,BOONVILLE,IN,47601.00,WARRICK,8128974800.00,Not Available,Number of Cases Too Small,Not Available,Not Available,3.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.00,No Different than U.S. National Rate,8.80,16.40,51.00,,15.60,No Different than U.S. National Rate,11.80,20.50,105.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,1.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.00,No Different than U.S. National Rate,20.20,30.40,52.00,,18.30,No Different than U.S. National Rate,14.60,22.60,110.00,
151326,UNION HOSPITAL CLINTON,801 S MAIN ST,,,CLINTON,IN,47842.00,VERMILLION,7658321234.00,Not Available,Number of Cases Too Small,Not Available,Not Available,12.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.40,No Different than U.S. National Rate,9.10,16.60,94.00,,12.00,No Different than U.S. National Rate,8.80,16.10,128.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,2.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.90,No Different than U.S. National Rate,21.40,30.70,113.00,,20.10,No Different than U.S. National Rate,16.40,24.30,149.00,
151327,SULLIVAN COUNTY COMMUNITY HOSPITAL,2200 N SECTION ST,,,SULLIVAN,IN,47882.00,SULLIVAN,8122684311.00,Not Available,Number of Cases Too Small,Not Available,Not Available,22.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.70,No Different than U.S. National Rate,9.40,16.70,87.00,,13.80,No Different than U.S. National Rate,10.20,18.00,130.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,16.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.00,No Different than U.S. National Rate,20.00,28.60,112.00,,19.70,No Different than U.S. National Rate,15.90,23.90,134.00,
151328,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,2900 W 16TH ST,,,BEDFORD,IN,47421.00,LAWRENCE,8122751200.00,14.00,No Different than U.S. National Rate,10.90,18.10,90.00,,11.80,No Different than U.S. National Rate,8.70,16.00,99.00,,13.60,No Different than U.S. National Rate,10.40,17.50,222.00,,20.10,No Different than U.S. National Rate,16.40,24.90,65.00,,23.80,No Different than U.S. National Rate,19.90,28.50,115.00,,20.60,No Different than U.S. National Rate,16.80,24.60,224.00,
151329,MARGARET MARY COMMUNITY HOSPITAL INC,321 MITCHELL AVE,,,BATESVILLE,IN,47006.00,RIPLEY,8129346624.00,Not Available,Number of Cases Too Small,Not Available,Not Available,17.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.00,No Different than U.S. National Rate,7.30,13.30,116.00,,15.40,No Different than U.S. National Rate,12.00,19.40,222.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,12.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,21.60,No Different than U.S. National Rate,17.50,26.30,125.00,,17.00,No Different than U.S. National Rate,13.90,20.70,218.00,
151330,ADAMS MEMORIAL HOSPITAL,1100 MERCER AVE,,,DECATUR,IN,46733.00,ADAMS,2607242145.00,15.10,No Different than U.S. National Rate,11.40,19.70,42.00,,12.60,No Different than U.S. National Rate,9.40,16.50,140.00,,13.00,No Different than U.S. National Rate,9.70,17.00,172.00,,19.30,No Different than U.S. National Rate,14.90,24.00,30.00,,23.30,No Different than U.S. National Rate,19.40,28.00,150.00,,15.70,No Different than U.S. National Rate,12.70,19.60,176.00,
151331,HARRISON COUNTY HOSPITAL,1141 HOSPITAL DR NW,,,CORYDON,IN,47112.00,HARRISON,8127384251.00,16.60,No Different than U.S. National Rate,12.80,21.00,28.00,,11.70,No Different than U.S. National Rate,8.40,15.70,78.00,,14.50,No Different than U.S. National Rate,11.30,18.40,217.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,17.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.00,No Different than U.S. National Rate,18.60,27.70,81.00,,16.30,No Different than U.S. National Rate,13.30,20.00,225.00,
151332,DECATUR COUNTY MEMORIAL HOSPITAL,720 N LINCOLN ST,,,GREENSBURG,IN,47240.00,DECATUR,8126634331.00,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.70,No Different than U.S. National Rate,9.50,16.50,121.00,,11.80,No Different than U.S. National Rate,8.60,16.30,103.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,21.00,No Different than U.S. National Rate,17.40,25.20,137.00,,18.00,No Different than U.S. National Rate,14.30,22.60,101.00,
151333,PUTNAM COUNTY HOSPITAL,1542 S BLOOMINGTON ST,,,GREENCASTLE,IN,46135.00,PUTNAM,7656552620.00,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.70,No Different than U.S. National Rate,9.10,17.10,64.00,,13.70,No Different than U.S. National Rate,10.60,17.30,196.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.90,No Different than U.S. National Rate,19.60,29.10,73.00,,18.70,No Different than U.S. National Rate,15.40,22.90,192.00,
151334,SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL,1451 N GARDNER ST,,,SCOTTSBURG,IN,47170.00,SCOTT,8127523456.00,Not Available,Number of Cases Too Small,Not Available,Not Available,8.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.20,No Different than U.S. National Rate,8.80,16.50,62.00,,10.50,No Different than U.S. National Rate,7.90,13.80,181.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,4.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.80,No Different than U.S. National Rate,19.30,28.80,69.00,,16.00,No Different than U.S. National Rate,13.00,19.50,189.00,
151335,ST VINCENT DUNN HOSPITAL INC,1600 23RD ST,,,BEDFORD,IN,47421.00,LAWRENCE,8122753331.00,14.20,No Different than U.S. National Rate,11.00,17.70,138.00,,13.50,No Different than U.S. National Rate,10.10,17.60,139.00,,15.10,No Different than U.S. National Rate,11.60,19.30,174.00,,20.10,No Different than U.S. National Rate,16.40,24.30,132.00,,26.60,No Different than U.S. National Rate,22.30,31.20,167.00,,19.00,No Different than U.S. National Rate,15.60,22.90,190.00,
160001,MARSHALLTOWN MEDICAL & SURGICAL CENTER,3 SOUTH 4TH AVENUE,,,MARSHALLTOWN,IA,50158.00,MARSHALL,6417545151.00,15.00,No Different than U.S. National Rate,11.50,19.40,72.00,,12.20,No Different than U.S. National Rate,9.10,15.90,168.00,,14.30,No Different than U.S. National Rate,11.40,17.80,298.00,,18.90,No Different than U.S. National Rate,15.00,23.70,65.00,,21.60,No Different than U.S. National Rate,17.90,25.50,179.00,,15.40,No Different than U.S. National Rate,12.80,19.00,296.00,
160005,ST ANTHONY REGIONAL HOSPITAL,311 SOUTH CLARK STREET,,,CARROLL,IA,51401.00,CARROLL,7127923581.00,Not Available,Number of Cases Too Small,Not Available,Not Available,22.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.10,No Different than U.S. National Rate,8.70,16.30,102.00,,14.00,No Different than U.S. National Rate,10.60,18.60,178.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.90,No Different than U.S. National Rate,19.70,28.80,106.00,,16.40,No Different than U.S. National Rate,13.30,20.30,187.00,
160008,KEOKUK AREA HOSPITAL,1600 MORGAN STREET,,,KEOKUK,IA,52632.00,LEE,3195247150.00,16.20,No Different than U.S. National Rate,12.60,20.00,55.00,,12.60,No Different than U.S. National Rate,9.50,16.20,190.00,,15.10,No Different than U.S. National Rate,11.90,19.00,213.00,,18.60,No Different than U.S. National Rate,14.60,23.10,30.00,,19.50,Better than U.S. National Rate,16.00,23.50,208.00,,20.90,No Different than U.S. National Rate,17.00,25.00,201.00,
160013,TRINITY MUSCATINE,1518 MULBERRY AVENUE,,,MUSCATINE,IA,52761.00,MUSCATINE,5632649100.00,16.40,No Different than U.S. National Rate,12.40,21.10,35.00,,13.10,No Different than U.S. National Rate,9.50,17.80,91.00,,12.20,No Different than U.S. National Rate,8.90,16.10,143.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,17.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.30,No Different than U.S. National Rate,20.00,29.10,96.00,,18.80,No Different than U.S. National Rate,15.00,23.00,146.00,
160016,TRINITY REGIONAL MEDICAL CENTER,802 KENYON RD,,,FORT DODGE,IA,50501.00,WEBSTER,5155738710.00,14.20,No Different than U.S. National Rate,11.40,17.60,274.00,,11.30,No Different than U.S. National Rate,9.00,14.00,379.00,,10.60,No Different than U.S. National Rate,8.40,13.10,420.00,,17.70,No Different than U.S. National Rate,14.70,21.40,286.00,,23.10,No Different than U.S. National Rate,19.90,26.30,448.00,,21.00,No Different than U.S. National Rate,18.10,24.20,468.00,
160024,IOWA LUTHERAN HOSPITAL,700 EAST UNIVERSITY AVENUE,,,DES MOINES,IA,50316.00,POLK,5152635612.00,15.50,No Different than U.S. National Rate,12.20,19.40,146.00,,10.00,No Different than U.S. National Rate,7.70,12.80,297.00,,11.90,No Different than U.S. National Rate,9.30,15.30,249.00,,20.90,No Different than U.S. National Rate,16.90,25.40,139.00,,24.00,No Different than U.S. National Rate,20.60,27.50,339.00,,19.10,No Different than U.S. National Rate,15.90,23.00,256.00,
160028,ALEGENT HEALTH MERCY HOSPITAL,800 MERCY DRIVE,,,COUNCIL BLUFFS,IA,51503.00,POTTAWATTAMIE,7123285000.00,16.00,No Different than U.S. National Rate,12.30,20.30,90.00,,12.70,No Different than U.S. National Rate,9.80,16.40,153.00,,12.40,No Different than U.S. National Rate,9.40,16.00,196.00,,19.60,No Different than U.S. National Rate,15.70,24.50,81.00,,23.20,No Different than U.S. National Rate,19.40,27.50,178.00,,18.10,No Different than U.S. National Rate,14.90,21.90,211.00,
160029,MERCY HOSPITAL,500 E MARKET STREET,,,IOWA CITY,IA,52245.00,JOHNSON,3193390300.00,14.20,No Different than U.S. National Rate,11.40,17.40,287.00,,12.50,No Different than U.S. National Rate,10.00,15.40,381.00,,9.10,No Different than U.S. National Rate,6.80,12.00,275.00,,20.30,No Different than U.S. National Rate,17.10,24.00,308.00,,24.10,No Different than U.S. National Rate,20.90,27.70,437.00,,16.30,No Different than U.S. National Rate,13.30,19.90,298.00,
160030,MARY GREELEY MEDICAL CENTER,1111 DUFF AVENUE,,,AMES,IA,50010.00,STORY,5152392011.00,12.50,No Different than U.S. National Rate,10.00,15.60,223.00,,11.30,No Different than U.S. National Rate,9.00,13.90,325.00,,8.20,Better than U.S. National Rate,6.30,10.40,386.00,,18.20,No Different than U.S. National Rate,15.20,21.80,222.00,,21.20,No Different than U.S. National Rate,18.10,24.70,402.00,,18.20,No Different than U.S. National Rate,15.40,21.40,414.00,
160032,SKIFF MEDICAL CENTER,204 NORTH 4TH AVENUE EAST,,,NEWTON,IA,50208.00,JASPER,6417921273.00,Not Available,Number of Cases Too Small,Not Available,Not Available,21.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,14.50,No Different than U.S. National Rate,10.90,18.90,121.00,,13.80,No Different than U.S. National Rate,10.20,18.20,126.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.50,No Different than U.S. National Rate,20.20,29.50,132.00,,17.10,No Different than U.S. National Rate,13.50,21.60,120.00,
160033,GENESIS MEDICAL CENTER-DAVENPORT,1227 EAST RUSHOLME STREET,,,DAVENPORT,IA,52803.00,SCOTT,5634211000.00,15.00,No Different than U.S. National Rate,12.70,17.80,522.00,,10.10,No Different than U.S. National Rate,8.50,11.90,743.00,,9.80,Better than U.S. National Rate,8.30,11.50,860.00,,17.80,No Different than U.S. National Rate,15.50,20.50,638.00,,22.50,No Different than U.S. National Rate,20.30,25.00,943.00,,17.60,No Different than U.S. National Rate,15.50,19.90,908.00,
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,,,DES MOINES                    ,IA,50310.00,POLK,5156995999.00,Not Available,Number of Cases Too Small,Not Available,Not Available,23.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.40,No Different than U.S. National Rate,8.20,15.70,87.00,,12.20,No Different than U.S. National Rate,9.00,16.30,129.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,21.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,21.70,No Different than U.S. National Rate,17.50,26.50,94.00,,17.00,No Different than U.S. National Rate,13.50,21.00,138.00,
160040,SARTORI MEMORIAL HOSPITAL,515 COLLEGE STREET,,,CEDAR FALLS,IA,50613.00,BLACK HAWK,3192683000.00,Not Available,Number of Cases Too Small,Not Available,Not Available,16.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.50,No Different than U.S. National Rate,7.40,14.60,50.00,,11.00,No Different than U.S. National Rate,7.80,15.10,104.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,12.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.50,No Different than U.S. National Rate,19.10,28.80,54.00,,16.90,No Different than U.S. National Rate,13.50,21.40,102.00,
160045,ST LUKES HOSPITAL,1026 A AVE NE,,,CEDAR RAPIDS,IA,52402.00,LINN,3193697211.00,12.70,No Different than U.S. National Rate,10.30,15.60,336.00,,10.80,No Different than U.S. National Rate,8.70,13.40,431.00,,8.30,Better than U.S. National Rate,6.50,10.60,540.00,,18.60,No Different than U.S. National Rate,15.50,22.00,370.00,,20.90,Better than U.S. National Rate,18.10,24.00,506.00,,17.30,No Different than U.S. National Rate,14.90,20.20,604.00,
160047,JENNIE EDMUNDSON HOSPITAL,933 EAST PIERCE STREET,,,COUNCIL BLUFFS,IA,51503.00,POTTAWATTAMIE,7123966000.00,12.70,No Different than U.S. National Rate,9.70,16.20,125.00,,10.70,No Different than U.S. National Rate,8.00,14.10,186.00,,14.00,No Different than U.S. National Rate,11.30,17.00,367.00,,21.80,No Different than U.S. National Rate,17.70,26.40,117.00,,23.70,No Different than U.S. National Rate,19.80,28.20,201.00,,19.10,No Different than U.S. National Rate,16.10,22.50,366.00,
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,,,IOWA CITY                     ,IA,52246.00,JOHNSON,3193380581.00,14.50,No Different than U.S. National Rate,10.70,19.30,69.00,,12.90,No Different than U.S. National Rate,9.40,17.50,141.00,,11.90,No Different than U.S. National Rate,8.50,16.50,118.00,,20.10,No Different than U.S. National Rate,16.10,24.80,87.00,,26.70,No Different than U.S. National Rate,22.50,31.10,171.00,,17.40,No Different than U.S. National Rate,13.90,21.40,133.00,
160057,GREAT RIVER MEDICAL CENTER,1221 SOUTH GEAR AVENUE,,,WEST BURLINGTON,IA,52655.00,DES MOINES,3197681000.00,14.40,No Different than U.S. National Rate,11.70,17.90,252.00,,10.30,No Different than U.S. National Rate,8.00,13.30,242.00,,12.30,No Different than U.S. National Rate,9.50,16.00,240.00,,17.90,No Different than U.S. National Rate,14.90,21.30,240.00,,22.80,No Different than U.S. National Rate,19.30,26.50,276.00,,17.30,No Different than U.S. National Rate,14.30,20.90,248.00,
160058,UNIVERSITY OF IOWA HOSPITAL & CLINICS,200 HAWKINS DRIVE,,,IOWA CITY,IA,52242.00,JOHNSON,3193561616.00,14.90,No Different than U.S. National Rate,11.60,18.80,174.00,,12.60,No Different than U.S. National Rate,9.90,16.10,290.00,,12.40,No Different than U.S. National Rate,9.30,16.20,189.00,,19.60,No Different than U.S. National Rate,16.40,23.30,220.00,,26.30,No Different than U.S. National Rate,22.90,30.00,374.00,,17.70,No Different than U.S. National Rate,14.60,21.40,230.00,
160064,MERCY MEDICAL CENTER-NORTH IOWA,1000 FOURTH STREET SW,,,MASON CITY,IA,50401.00,CERRO GORDO,6414227000.00,13.50,No Different than U.S. National Rate,11.20,16.40,446.00,,12.90,No Different than U.S. National Rate,10.70,15.40,618.00,,11.90,No Different than U.S. National Rate,9.70,14.70,555.00,,19.10,No Different than U.S. National Rate,16.50,22.10,472.00,,26.50,No Different than U.S. National Rate,23.70,29.50,746.00,,18.40,No Different than U.S. National Rate,15.90,21.10,618.00,
160067,COVENANT MEDICAL CENTER,3421 WEST NINTH STREET,,,WATERLOO,IA,50702.00,BLACK HAWK,3192728000.00,15.70,No Different than U.S. National Rate,12.10,20.20,81.00,,13.40,No Different than U.S. National Rate,10.60,16.70,231.00,,11.70,No Different than U.S. National Rate,9.10,15.10,231.00,,18.50,No Different than U.S. National Rate,14.70,23.10,89.00,,23.30,No Different than U.S. National Rate,19.90,27.20,255.00,,16.20,No Different than U.S. National Rate,13.30,19.70,246.00,
160069,MERCY MEDICAL CENTER-DUBUQUE,250 MERCY DRIVE,,,DUBUQUE,IA,52001.00,DUBUQUE,5635898000.00,16.20,No Different than U.S. National Rate,12.30,20.90,143.00,,12.90,No Different than U.S. National Rate,9.70,17.00,168.00,,10.60,No Different than U.S. National Rate,7.70,14.30,175.00,,17.50,No Different than U.S. National Rate,14.10,21.30,187.00,,24.20,No Different than U.S. National Rate,20.10,28.70,187.00,,17.90,No Different than U.S. National Rate,14.60,21.80,196.00,
160079,MERCY MEDICAL CENTER - CEDAR RAPIDS,701 10TH STREET SE,,,CEDAR RAPIDS,IA,52403.00,LINN,3193986011.00,15.90,No Different than U.S. National Rate,12.80,19.10,277.00,,9.10,Better than U.S. National Rate,7.30,11.40,430.00,,10.80,No Different than U.S. National Rate,8.90,13.10,596.00,,18.90,No Different than U.S. National Rate,15.80,22.50,263.00,,21.80,No Different than U.S. National Rate,18.80,25.20,474.00,,18.10,No Different than U.S. National Rate,15.70,20.80,658.00,
